"partido_1","votos_1","porcen_1","partido_2","votos_2","porcen_2","partido_3","votos_3","porcen_3","name_2_url","name_4_url"
"PP","197","56,77%","PSOE","138","39,76%","UPYD","4","1,15%","Almería","Somontín"
"PSOE","274","47,32%","PP","246","42,48%","IULV-CA","40","6,90%","Almería","Gérgal"
"PP","4.008","52,33%","PSOE","2.823","36,86%","IULV-CA","444","5,79%","Almería","Vícar"
"PP","233","52,83%","PSOE","171","38,77%","IULV-CA","25","5,66%","Almería","Felix"
"PSOE","418","48,15%","PP","371","42,74%","IULV-CA","55","6,33%","Almería","Canjáyar"
"PP","3.131","42,96%","PSOE","2.710","37,18%","IULV-CA","617","8,46%","Cádiz","Tarifa"
"PP","3.844","43,39%","PSOE","2.973","33,55%","IULV-CA","882","9,95%","Cádiz","Barbate"
"PSOE","1.497","49,17%","PP","1.146","37,64%","IULV-CA","190","6,24%","Córdoba","Fuente Obejuna"
"PSOE","893","45,77%","PP","743","38,08%","IULV-CA","174","8,91%","Córdoba","Belalcázar"
"PSOE","1.098","57,91%","PP","584","30,80%","IULV-CA","167","8,80%","Córdoba","Viso (El)"
"PSOE","495","47,27%","PP","352","33,61%","IULV-CA","172","16,42%","Córdoba","Cardeña"
"PSOE","474","54,35%","PP","192","22,01%","IULV-CA","167","19,15%","Córdoba","Villaralto"
"PSOE","378","51,63%","PP","247","33,74%","IULV-CA","79","10,79%","Granada","Orce"
"PSOE","2.193","50,20%","PP","1.772","40,56%","IULV-CA","209","4,78%","Granada","Huéscar"
"PP","1.038","39,66%","PSOE","901","34,42%","IULV-CA","518","19,79%","Córdoba","Carpio (El)"
"PSOE","174","49,85%","PP","125","35,81%","IULV-CA","44","12,60%","Granada","Alicún de Ortega"
"PP","4.186","47,57%","PSOE","2.719","30,90%","IULV-CA","1.036","11,77%","Huelva","Aljaraque"
"PSOE","4.523","47,13%","PP","3.449","35,94%","IULV-CA","1.170","12,19%","Huelva","Almonte"
"PP","8.987","44,35%","PSOE","7.817","38,58%","IULV-CA","2.116","10,44%","Málaga","Antequera"
"ECNP","137","50,74%","PP","112","41,48%","IULV-CA","12","4,44%","Málaga","Alfarnatejo"
"PP","2.954","42,48%","PSOE","2.535","36,45%","PA","677","9,73%","Huelva","Isla Cristina"
"PSOE","2.421","51,23%","PP","1.260","26,66%","IULV-CA","797","16,86%","Málaga","Archidona"
"IULV-CA","643","33,89%","PSOE","635","33,47%","PP","505","26,62%","Málaga","Casabermeja"
"PSOE","485","51,81%","IULV-CA","281","30,02%","PP","150","16,02%","Málaga","Cuevas Bajas"
"PSOE","715","47,92%","PP","418","28,01%","IULV-CA","276","18,49%","Málaga","Ardales"
"PSOE","2.294","47,27%","PP","1.387","28,58%","IULV-CA","956","19,70%","Málaga","Campillos"
"PSOE","1.083","48,21%","PP","820","36,50%","IULV-CA","229","10,19%","Málaga","Mollina"
"IULV-CA","880","39,87%","PSOE","704","31,89%","PP","515","23,33%","Málaga","Arriate"
"PSOE","984","40,52%","IULV-CA","821","33,81%","PP","466","19,19%","Málaga","Teba"
"PSOE","1.177","48,83%","PP","635","26,34%","IULV-CA","485","20,12%","Málaga","Villanueva de Algaidas"
"PSOE","55","50,45%","PP","46","42,20%","IULV-CA","5","4,58%","Málaga","Atajate"
"PSOE","1.001","54,87%","PP","548","30,04%","IULV-CA","193","10,58%","Málaga","Sierra de Yeguas"
"PP","318","44,04%","PSOE","317","43,90%","IULV-CA","55","7,61%","Málaga","Gaucín"
"PSOE","93","38,11%","PP","88","36,06%","IULV-CA","34","13,93%","Málaga","Benalauría"
"PSOE","451","55,81%","PP","197","24,38%","IULV-CA","129","15,96%","Málaga","Benaoján"
"PP","290","54,20%","PSOE","207","38,69%","IULV-CA","23","4,29%","Málaga","Igualeja"
"PSOE","71","53,38%","PP","33","24,81%","IULV-CA","17","12,78%","Málaga","Benadalid"
"PP","156","57,77%","PSOE","79","29,25%","IULV-CA","25","9,25%","Málaga","Jimera de Líbar"
"PSOE","82","51,25%","PP","69","43,12%","IULV-CA","4","2,50%","Málaga","Júzcar"
"PP","6.792","47,09%","PSOE","4.531","31,41%","IULV-CA","1.582","10,96%","Málaga","Alhaurín de la Torre"
"PP","610","63,08%","PSOE","176","18,20%","IULV-CA","63","6,51%","Málaga","Benahavís"
"PSOE","652","51,70%","IULV-CA","273","21,64%","PP","271","21,49%","Málaga","Alozaina"
"PSOE","217","44,37%","PP","127","25,97%","IULV-CA","124","25,35%","Málaga","Carratraca"
"PSOE","523","42,79%","PP","519","42,47%","IULV-CA","113","9,24%","Málaga","Casarabonela"
"PSOE","152","51,87%","PP","110","37,54%","IULV-CA","22","7,50%","Málaga","Genalguacil"
"PSOE","655","61,04%","PP","310","28,89%","IULV-CA","65","6,05%","Málaga","Guaro"
"PSOE","672","37,14%","IULV-CA","570","31,50%","PP","476","26,31%","Málaga","Casares"
"PP","3.628","43,27%","PSOE","2.611","31,14%","IULV-CA","1.146","13,67%","Málaga","Coín"
"PP","1.354","41,29%","PSOE","1.151","35,10%","IULV-CA","523","15,94%","Málaga","Manilva"
"PP","8.276","43,50%","PSOE","6.387","33,57%","IULV-CA","1.978","10,39%","Málaga","Mijas"
"PSOE","474","46,47%","IULV-CA","266","26,07%","PP","224","21,96%","Málaga","Monda"
"PP","585","49,91%","PSOE","395","33,70%","IULV-CA","113","9,64%","Málaga","Tolox"
"PP","12.452","53,83%","PSOE","6.280","27,15%","IULV-CA","2.281","9,86%","Málaga","Torremolinos"
"PSOE","920","54,72%","PP","437","25,99%","IULV-CA","218","12,96%","Málaga","Yunquera"
"PSOE","438","50,57%","PP","364","42,03%","IULV-CA","35","4,04%","Sevilla","Almadén de la Plata"
"PSOE","531","64,99%","PP","145","17,74%","IULV-CA","92","11,26%","Sevilla","Castillo de las Guardas (El)"
"PSOE","1.874","53,23%","PP","1.088","30,90%","IULV-CA","232","6,59%","Sevilla","Constantina"
"PSOE","273","64,08%","PP","91","21,36%","IULV-CA","36","8,45%","Sevilla","Garrobo (El)"
"PSOE","593","68,87%","PP","200","23,22%","IULV-CA","33","3,83%","Sevilla","Ronquillo (El)"
"PSOE","1.669","45,71%","IULV-CA","880","24,10%","PP","866","23,71%","Sevilla","Gerena"
"PSOE","256","63,05%","PP","111","27,33%","IULV-CA","24","5,91%","Sevilla","San Nicolás del Puerto"
"PSOE","925","49,01%","PP","478","25,33%","IULV-CA","413","21,88%","Sevilla","Puebla de los Infantes (La)"
"PSOE","1.534","74,57%","IULV-CA","256","12,44%","PP","209","10,16%","Sevilla","Cañada Rosal"
"PSOE","14.149","43,42%","PP","10.585","32,48%","IULV-CA","3.640","11,17%","Sevilla","Alcalá de Guadaíra"
"PSOE","5.861","57,33%","PP","2.124","20,77%","IULV-CA","1.508","14,75%","Sevilla","Arahal"
"PSOE","1.224","42,45%","IULV-CA","1.069","37,07%","PP","476","16,51%","Sevilla","Coronil (El)"
"PSOE","1.360","47,78%","IULV-CA","963","33,83%","PP","429","15,07%","Sevilla","Campana (La)"
"PSOE","1.109","54,46%","PP","434","21,31%","IULV-CA","312","15,32%","Sevilla","Lantejuela (La)"
"PSOE","1.184","53,38%","PP","631","28,44%","IULV-CA","334","15,05%","Sevilla","Rubio (El)"
"PSOE","1.807","65,35%","PP","446","16,13%","IULV-CA","361","13,05%","Sevilla","Luisiana (La)"
"PSOE","4.563","59,42%","PP","1.632","21,25%","IULV-CA","909","11,83%","Sevilla","Cabezas de San Juan (Las)"
"PSOE","5.356","56,96%","PP","2.749","29,23%","IULV-CA","833","8,85%","Sevilla","Osuna"
"PSOE","11.003","46,97%","PP","7.175","30,63%","IULV-CA","2.168","9,25%","Sevilla","Utrera"
"PSOE","1.218","66,01%","PP","441","23,90%","IULV-CA","134","7,26%","Sevilla","Alcolea del Río"
"PSOE","3.735","61,13%","PP","1.093","17,89%","IULV-CA","955","15,63%","Sevilla","Brenes"
"PSOE","2.855","48,72%","PP","1.507","25,71%","IULV-CA","991","16,91%","Sevilla","Alcalá del Río"
"PSOE","9.297","53,38%","PP","4.070","23,37%","IULV-CA","2.772","15,91%","Sevilla","Rinconada (La)"
"PSOE","4.971","50,80%","PP","3.110","31,78%","IULV-CA","1.177","12,02%","Sevilla","Lora del Río"
"PSOE","5.467","29,76%","PP","5.429","29,55%","IULV-CA","4.452","24,23%","Sevilla","Palacios y Villafranca (Los)"
"PSOE","1.153","49,78%","PP","600","25,90%","IULV-CA","505","21,80%","Sevilla","Peñaflor"
"PSOE","2.022","49,82%","PP","955","23,53%","IULV-CA","718","17,69%","Sevilla","Santiponce"
"PSOE","4.591","50,20%","PP","2.859","31,26%","IULV-CA","943","10,31%","Sevilla","San Juan de Aznalfarache"
"PSOE","1.453","56,10%","PP","760","29,34%","IULV-CA","281","10,84%","Sevilla","Villanueva del Río y Minas"
"PP","150.897","42,67%","PSOE","132.338","37,42%","IULV-CA","33.136","9,37%","Sevilla","Sevilla"
"PSOE","2.087","49,10%","PP","1.334","31,38%","IULV-CA","718","16,89%","Sevilla","Villaverde del Río"
"PSOE","3.111","59,66%","PP","1.138","21,82%","PA","391","7,49%","Sevilla","Tocina"
"PSOE","873","51,90%","PP","648","38,52%","IULV-CA","86","5,11%","Sevilla","Albaida del Aljarafe"
"PSOE","1.088","41,91%","PP","816","31,43%","IULV-CA","460","17,71%","Sevilla","Almensilla"
"PSOE","1.751","51,97%","PP","974","28,91%","IULV-CA","258","7,65%","Sevilla","Benacazón"
"PP","1.862","40,21%","PSOE","1.619","34,96%","IULV-CA","753","16,26%","Sevilla","Bollullos de la Mitación"
"PP","3.842","43,59%","PSOE","3.213","36,46%","IULV-CA","813","9,22%","Sevilla","Bormujos"
"PSOE","3.855","45,40%","PP","3.054","35,97%","IULV-CA","794","9,35%","Sevilla","Castilleja de la Cuesta"
"PSOE","216","49,54%","PP","138","31,65%","IULV-CA","55","12,61%","Sevilla","Castilleja del Campo"
"PP","515","37,61%","PSOE","501","36,59%","IULV-CA","177","12,92%","Sevilla","Castilleja de Guzmán"
"PSOE","6.054","49,34%","PP","3.499","28,52%","IULV-CA","1.589","12,95%","Sevilla","Camas"
"PSOE","508","37,79%","PP","506","37,64%","IULV-CA","271","20,16%","Sevilla","Carrión de los Céspedes"
"PP","1.945","43,49%","PSOE","1.590","35,55%","IULV-CA","481","10,75%","Sevilla","Gelves"
"PP","3.082","46,52%","PSOE","2.204","33,26%","IULV-CA","613","9,25%","Sevilla","Gines"
"PP","3.390","52,30%","PSOE","1.707","26,33%","IULV-CA","559","8,62%","Sevilla","Espartinas"
"PP","1.383","38,83%","PSOE","1.242","34,87%","IULV-CA","487","13,67%","Sevilla","Palomares del Río"
"PSOE","2.319","49,28%","PP","1.602","34,04%","IULV-CA","523","11,11%","Sevilla","Olivares"
"PP","8.168","39,05%","PSOE","7.582","36,25%","IULV-CA","2.489","11,90%","Sevilla","Mairena del Aljarafe"
"PSOE","909","58,08%","PP","521","33,29%","IULV-CA","87","5,55%","Sevilla","Huévar del Aljarafe"
"PSOE","3.024","43,55%","PP","2.380","34,27%","IULV-CA","1.001","14,41%","Sevilla","Pilas"
"PP","150.897","42,67%","PSOE","132.338","37,42%","IULV-CA","33.136","9,37%","Sevilla","Sevilla"
"PSOE","2.733","43,12%","PP","2.414","38,09%","IULV-CA","509","8,03%","Sevilla","Sanlúcar la Mayor"
"PSOE","1.282","45,18%","PP","1.140","40,18%","IULV-CA","204","7,19%","Sevilla","Salteras"
"PP","6.716","54,27%","PSOE","3.264","26,37%","IULV-CA","936","7,56%","Sevilla","Tomares"
"PSOE","2.048","49,93%","PP","1.471","35,86%","IULV-CA","294","7,16%","Sevilla","Umbrete"
"PP","1.779","42,81%","PSOE","1.382","33,26%","IULV-CA","525","12,63%","Sevilla","Valencina de la Concepción"
"PSOE","1.132","53,85%","PP","735","34,96%","IULV-CA","131","6,23%","Sevilla","Aznalcázar"
"PSOE","1.413","42,59%","PP","1.395","42,05%","IULV-CA","274","8,26%","Sevilla","Villanueva del Ariscal"
"PSOE","1.566","55,72%","PP","827","29,43%","IULV-CA","326","11,60%","Sevilla","Isla Mayor"
"PSOE","3.410","55,60%","PP","1.484","24,19%","IULV-CA","815","13,28%","Sevilla","Puebla del Río (La)"
"PSOE","1.425","60,94%","PP","633","27,07%","IULV-CA","181","7,74%","Sevilla","Villamanrique de la Condesa"
"PSOE","621","48,43%","PP","323","25,19%","IULV-CA","309","24,10%","Sevilla","Aguadulce"
"PSOE","971","50,83%","IULV-CA","668","34,97%","PP","225","11,78%","Sevilla","Badolatosa"
"PSOE","1.705","49,91%","IULV-CA","1.222","35,77%","PP","402","11,76%","Sevilla","Casariche"
"PSOE","3.029","41,47%","PP","2.483","33,99%","PA","884","12,10%","Sevilla","Estepa"
"PSOE","1.762","45,02%","PP","1.434","36,64%","IULV-CA","548","14,00%","Sevilla","Herrera"
